Position,Track Name,Artist,Streams,URL,Date,Region
107,ZEZE,Kodak Black,1044,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2018-12-24,lu
108,Be Alright,Dean Lewis,1039,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2018-12-24,lu
109,"You're A Mean One, Mr. Grinch - From Dr. Seuss' 'How The Grinch Stole Christmas'",Thurl Ravenscroft,1038,https://open.spotify.com/track/6Tof6kPUc2a17GKaKz4IXz,2018-12-24,lu
110,Silent Night,Mariah Carey,1030,https://open.spotify.com/track/1sFWEpf1aPYN576LS1aa4Y,2018-12-24,lu
111,All I Want for Christmas Is You,Michael Bublé,1015,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,2018-12-24,lu
Position,Track Name,Artist,Streams,URL,2018-12-25,lu
1,All I Want for Christmas Is You,Mariah Carey,4161,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2018-12-25,lu
2,Last Christmas,Wham!,3806,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2018-12-25,lu
3,Jingle Bell Rock,Bobby Helms,3389,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,2018-12-25,lu
4,Rockin' Around The Christmas Tree,Brenda Lee,3317,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,2018-12-25,lu
5,It's Beginning to Look a Lot like Christmas,Michael Bublé,3184,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI,2018-12-25,lu
6,Do They Know It's Christmas? - 1984 Version,Band Aid,3180,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf,2018-12-25,lu
7,It's the Most Wonderful Time of the Year,Andy Williams,3109,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,2018-12-25,lu
8,Santa Tell Me,Ariana Grande,3029,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,2018-12-25,lu
9,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,2882,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD,2018-12-25,lu
10,Happy Xmas (War Is Over) - Remastered,John Lennon,2602,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy,2018-12-25,lu
11,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,2550,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM,2018-12-25,lu
12,White Christmas,Bing Crosby,2492,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW,2018-12-25,lu
13,Feliz Navidad,José Feliciano,2348,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS,2018-12-25,lu
14,The Christmas Song (Merry Christmas To You),Nat King Cole,2287,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON,2018-12-25,lu
15,Driving Home for Christmas,Chris Rea,2165,https://open.spotify.com/track/3Z3QhZAZpqwZa1phsbQ3JZ,2018-12-25,lu
16,Mistletoe,Justin Bieber,2149,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA,2018-12-25,lu
17,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,2120,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg,2018-12-25,lu
18,Underneath the Tree,Kelly Clarkson,2103,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5,2018-12-25,lu
19,Holly Jolly Christmas,Michael Bublé,2078,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE,2018-12-25,lu
20,A Holly Jolly Christmas - Single Version,Burl Ives,2069,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe,2018-12-25,lu
21,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,2065,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa,2018-12-25,lu
22,Sleigh Ride,The Ronettes,2007,https://open.spotify.com/track/5ASM6Qjiav2xPe7gRkQMsQ,2018-12-25,lu
23,Santa Claus Is Coming to Town,Michael Bublé,2006,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7,2018-12-25,lu
24,Have Yourself A Merry Little Christmas,Sam Smith,1981,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K,2018-12-25,lu
25,"Baby, It's Cold Outside",Brett Eldredge,1937,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK,2018-12-25,lu
26,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,1815,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU,2018-12-25,lu
27,Christmas (Baby Please Come Home),Mariah Carey,1728,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN,2018-12-25,lu
28,Merry Christmas Everyone - Remastered,Shakin' Stevens,1638,https://open.spotify.com/track/2ISl1zekPsc26sUQpVt8UB,2018-12-25,lu
29,Santa Baby,Ariana Grande,1615,https://open.spotify.com/track/6YJdPrH3i2POzu7hdHIRrb,2018-12-25,lu
30,Blue Christmas,Elvis Presley,1613,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ,2018-12-25,lu
31,Christmas Lights,Coldplay,1610,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL,2018-12-25,lu
32,Winter Wonderland,Tony Bennett,1579,https://open.spotify.com/track/4ricyQVd20UQde1jpXCSuJ,2018-12-25,lu
33,My Only Wish (This Year),Britney Spears,1527,https://open.spotify.com/track/1UQbxSOVbauPxaUh337GTx,2018-12-25,lu
34,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,1507,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee,2018-12-25,lu
35,Santa Baby,Kylie Minogue,1491,https://open.spotify.com/track/2SBr3MK1sdMs8IxdRcN6qz,2018-12-25,lu
36,Run Rudolph Run - Single Version,Chuck Berry,1473,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ,2018-12-25,lu
37,Rudolph The Red-Nosed Reindeer,Dean Martin,1423,https://open.spotify.com/track/2L9QLAhrvtP4EYg1lY0Tnw,2018-12-25,lu
38,Fairytale of New York (feat. Kirsty MacColl),The Pogues,1409,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK,2018-12-25,lu
39,Christmas (Baby Please Come Home),Darlene Love,1332,https://open.spotify.com/track/6bNuwzORFWORu9Ym7dBCPl,2018-12-25,lu
40,"Baby, It's Cold Outside",Dean Martin,1316,https://open.spotify.com/track/4MrfQL4TYQXJBlZYpAHTuE,2018-12-25,lu
41,Benzema,Capital Bra,1313,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2018-12-25,lu
42,What Christmas Means To Me,Stevie Wonder,1287,https://open.spotify.com/track/3h1EREJfCwyv6cG7CGak5d,2018-12-25,lu
