"name","type","value","date"
"Happy Xmas (War Is Over) - Remastered","John Lennon","845697","2018-11-30"
"Killer Queen - Remastered 2011","Queen","843837","2018-11-30"
"ocean eyes","Billie Eilish","840150","2018-11-30"
"FRIENDS","Marshmello","829916","2018-11-30"
"The Middle","Zedd","821472","2018-11-30"
"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby","817072","2018-11-30"
"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez","813123","2018-11-30"
"Mama (feat. Ellie Goulding)","Clean Bandit","811986","2018-11-30"
"Waste It On Me (feat. BTS)","Steve Aoki","810635","2018-11-30"
"LA LA","Ski Mask The Slump God","807135","2018-11-30"
"Have Yourself A Merry Little Christmas","Sam Smith","806047","2018-11-30"
"Trauma","Meek Mill","793688","2018-11-30"
"Better To Lie (with Jesse & Swae Lee)","benny blanco","793156","2018-11-30"
"Toda - Remix","Alex Rose","792904","2018-11-30"
"Yes Indeed","Lil Baby","788231","2018-11-30"
"Respect The Game","Meek Mill","786945","2018-11-30"
"White Christmas","Bing Crosby","784225","2018-11-30"
"Word On The Street","Lil Baby","779116","2018-11-30"
"Jackie Chan","Tiësto","778959","2018-11-30"
"Underneath the Tree","Kelly Clarkson","776509","2018-11-30"
"Say You Won't Let Go","James Arthur","775702","2018-11-30"
"Too Good At Goodbyes","Sam Smith","775325","2018-11-30"
"I Like Me Better","Lauv","775109","2018-11-30"
"XO Tour Llif3","Lil Uzi Vert","772724","2018-11-30"
"Tic Tac Toe (feat. Kodak Black)","Meek Mill","770096","2018-11-30"
"Vas A Quedarte","Aitana","767899","2018-11-30"
"PPP","Kevin Roldan","765719","2018-11-30"
"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","765468","2018-11-30"
"Faucet Failure","Ski Mask The Slump God","763747","2018-11-30"
"Closer","The Chainsmokers","758690","2018-11-30"
"Sin Pijama","Becky G","756116","2018-11-30"
"So High","Ski Mask The Slump God","746473","2018-11-30"
"A Holly Jolly Christmas - Single Version","Burl Ives","740248","2018-11-30"
"Parado no Bailão","MC L da Vinte","737850","2018-11-30"
"Everybody Dies In Their Nightmares","XXXTENTACION","735132","2018-11-30"
"Realist In It (feat. Gucci Mane & Offset)","Lil Baby","732058","2018-11-30"
"Noticed","Lil Mosey","731754","2018-11-30"
"Congratulations","Post Malone","731337","2018-11-30"
"Driving Home for Christmas","Chris Rea","727704","2018-11-30"
"Far Gone (feat. Lil Baby)","Ski Mask The Slump God","721824","2018-11-30"
"Beach House","The Chainsmokers","717932","2018-11-30"
"Splash Warning (feat. Future, Roddy Ricch and Young Thug)","Meek Mill","713167","2018-11-30"
"Look Alive (feat. Drake)","BlocBoy JB","713019","2018-11-30"
"Quiere Beber","Anuel AA","711910","2018-11-30"
"Anyway (feat. 2 Chainz & Gucci Mane)","Lil Baby","708528","2018-11-30"
"SICKO MODE - Skrillex Remix","Travis Scott","708495","2018-11-30"
"All Girls Are The Same","Juice WRLD","704975","2018-11-30"
"This Week","Lil Baby","704584","2018-11-30"
"Be My Mistake","The 1975","703181","2018-11-30"
"thank u, next","Ariana Grande","6950362","2018-12-01"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","4544598","2018-12-01"
"All I Want for Christmas Is You","Mariah Carey","4258617","2018-12-01"
"MIA (feat. Drake)","Bad Bunny","3460946","2018-12-01"
"Without Me","Halsey","3000474","2018-12-01"
"Happier","Marshmello","2896796","2018-12-01"
"Santa Tell Me","Ariana Grande","2860921","2018-12-01"
"Last Christmas","Wham!","2808243","2018-12-01"
"ZEZE (feat. Travis Scott & Offset)","Kodak Black","2743038","2018-12-01"
"SICKO MODE","Travis Scott","2731357","2018-12-01"
"KIKA","6ix9ine","2718884","2018-12-01"
"TIC TOC","6ix9ine","2691783","2018-12-01"
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","2555875","2018-12-01"
"Adan y Eva","Paulo Londra","2427827","2018-12-01"
"Mo Bamba","Sheck Wes","2411028","2018-12-01"
"Sweet but Psycho","Ava Max","2358468","2018-12-01"
"Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","2357038","2018-12-01"
"Shallow","Lady Gaga","2350146","2018-12-01"
"Going Bad (feat. Drake)","Meek Mill","2343944","2018-12-01"
"Bohemian Rhapsody - Remastered 2011","Queen","2318898","2018-12-01"
"It's Beginning to Look a Lot like Christmas","Michael Bublé","2260007","2018-12-01"
"Jingle Bell Rock","Bobby Helms","2239517","2018-12-01"
"MAMA","6ix9ine","2110452","2018-12-01"
"BEBE","6ix9ine","2103469","2018-12-01"
"Rockin' Around The Christmas Tree","Brenda Lee","2086367","2018-12-01"
"when the party's over","Billie Eilish","2065368","2018-12-01"
"Do They Know It's Christmas? - 1984 Version","Band Aid","1870078","2018-12-01"
"It's the Most Wonderful Time of the Year","Andy Williams","1848506","2018-12-01"
"In My Mind","Dynoro","1848027","2018-12-01"
"Better","Khalid","1843142","2018-12-01"
"Drip Too Hard (Lil Baby & Gunna)","Lil Baby","1842931","2018-12-01"
"Mistletoe","Justin Bieber","1830200","2018-12-01"
"Girls Like You (feat. Cardi B)","Maroon 5","1830017","2018-12-01"
"Lucid Dreams","Juice WRLD","1802026","2018-12-01"
"Eastside (with Halsey & Khalid)","benny blanco","1751195","2018-12-01"
"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson","1705952","2018-12-01"
"SAD!","XXXTENTACION","1692466","2018-12-01"
"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding","1683313","2018-12-01"
"Promises (with Sam Smith)","Calvin Harris","1661410","2018-12-01"
"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","1633639","2018-12-01"
"Better Now","Post Malone","1608100","2018-12-01"
"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","1599232","2018-12-01"
"Moonlight","XXXTENTACION","1576876","2018-12-01"
"Vaina Loca","Ozuna","1564812","2018-12-01"
"Be Alright","Dean Lewis","1551888","2018-12-01"
"BAD!","XXXTENTACION","1543961","2018-12-01"
"WAKA","6ix9ine","1534367","2018-12-01"
"Let You Love Me","Rita Ora","1494278","2018-12-01"
"come out and play","Billie Eilish","1489320","2018-12-01"
"Woman Like Me (feat. Nicki Minaj)","Little Mix","1485314","2018-12-01"
"Ruin My Life","Zara Larsson","1469726","2018-12-01"
"Ella Quiere Beber - Remix","Anuel AA","1460618","2018-12-01"
"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney","1452043","2018-12-01"
"Happy Xmas (War Is Over) - Remastered","John Lennon","1429293","2018-12-01"
"Wake Up in the Sky","Gucci Mane","1418871","2018-12-01"
"Kiss and Make Up","Dua Lipa","1401714","2018-12-01"
"Have Yourself A Merry Little Christmas","Sam Smith","1398350","2018-12-01"
"Calma - Remix","Pedro Capó","1394671","2018-12-01"
"Falling Down - Bonus Track","Lil Peep","1393453","2018-12-01"
"Bad Liar","Imagine Dragons","1390943","2018-12-01"
"Another One Bites The Dust - Remastered 2011","Queen","1382817","2018-12-01"
"Natural","Imagine Dragons","1366957","2018-12-01"
"Holly Jolly Christmas","Michael Bublé","1338336","2018-12-01"
"Happy Now","Kygo","1332616","2018-12-01"
"Underneath the Tree","Kelly Clarkson","1326527","2018-12-01"
"Taste (feat. Offset)","Tyga","1318479","2018-12-01"
"White Christmas","Bing Crosby","1315483","2018-12-01"
"lovely (with Khalid)","Billie Eilish","1309094","2018-12-01"
"In My Feelings","Drake","1291358","2018-12-01"
"Cuando Te Besé","Becky G","1286430","2018-12-01"
"High Hopes","Panic! At The Disco","1271003","2018-12-01"
"Youngblood","5 Seconds of Summer","1242213","2018-12-01"
"Driving Home for Christmas","Chris Rea","1240941","2018-12-01"
"On Me (feat. Cardi B)","Meek Mill","1231918","2018-12-01"
"I Like It","Cardi B","1213369","2018-12-01"
"MALA","6ix9ine","1208081","2018-12-01"
"rockstar (feat. 21 Savage)","Post Malone","1201188","2018-12-01"
"Imposible","Luis Fonsi","1201171","2018-12-01"
"A Holly Jolly Christmas - Single Version","Burl Ives","1199762","2018-12-01"
"I Love It (& Lil Pump)","Kanye West","1189460","2018-12-01"
"Don't Stop Me Now - Remastered","Queen","1180100","2018-12-01"
"breathin","Ariana Grande","1163839","2018-12-01"
"Armed And Dangerous","Juice WRLD","1140658","2018-12-01"
"Adictiva","Daddy Yankee","1135877","2018-12-01"
"Te Boté - Remix","Nio Garcia","1121702","2018-12-01"
"Jocelyn Flores","XXXTENTACION","1117090","2018-12-01"
"Feliz Navidad","José Feliciano","1114564","2018-12-01"
"no tears left to cry","Ariana Grande","1112989","2018-12-01"
"Somebody To Love - Remastered 2011","Queen","1111017","2018-12-01"
"What's Free (feat. Rick Ross & Jay Z)","Meek Mill","1107750","2018-12-01"
"Bubalu","Becky G","1103530","2018-12-01"
"Let It Snow! Let It Snow! Let It Snow!","Dean Martin","1082599","2018-12-01"
"The Christmas Song (Merry Christmas To You)","Nat King Cole","1080024","2018-12-01"
"Under Pressure - Remastered","Queen","1078517","2018-12-01"
"Leave Me Alone","Flipp Dinero","1071247","2018-12-01"
"Love Someone","Lukas Graham","1071113","2018-12-01"
"God is a woman","Ariana Grande","1069799","2018-12-01"
"Nonstop","Drake","1058891","2018-12-01"
"Uptown Vibes (feat. Fabolous & Anuel AA)","Meek Mill","1052625","2018-12-01"
"God's Plan","Drake","1048066","2018-12-01"
"STOOPID","6ix9ine","1036055","2018-12-01"
"Shape of You","Ed Sheeran","1034102","2018-12-01"
"Amigos Con Derechos","Reik","1023606","2018-12-01"
"Believer","Imagine Dragons","1004504","2018-12-01"
"KANGA","6ix9ine","1001326","2018-12-01"
"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God","997457","2018-12-01"
"Fairytale of New York (feat. Kirsty MacColl)","The Pogues","997336","2018-12-01"
"Santa Baby","Ariana Grande","995098","2018-12-01"
"Baby, It's Cold Outside","Brett Eldredge","985873","2018-12-01"
"Culpables","KAROL G","976899","2018-12-01"
"Solo (feat. Demi Lovato)","Clean Bandit","976707","2018-12-01"
"SOLO","JENNIE","974799","2018-12-01"
"Reggaeton","J Balvin","974295","2018-12-01"
"Beautiful (feat. Camila Cabello)","Bazzi","972228","2018-12-01"
"My Only Wish (This Year)","Britney Spears","967095","2018-12-01"
"Rise","Jonas Blue","966827","2018-12-01"
"Desconocidos","Mau y Ricky","962934","2018-12-01"
"Ya No Tiene Novio","Sebastian Yatra","960806","2018-12-01"
"Lonesome Train","Stan Kenton","959725","2018-12-01"
"Body (feat. Brando)","Loud Luxury","958046","2018-12-01"
"2002","Anne-Marie","955095","2018-12-01"
"Mala Mía","Maluma","954644","2018-12-01"
"Money","Cardi B","947357","2018-12-01"
"One Kiss (with Dua Lipa)","Calvin Harris","945406","2018-12-01"
"We Will Rock You - Remastered","Queen","944037","2018-12-01"
"Shotgun","George Ezra","940494","2018-12-01"
"No Stylist","French Montana","935680","2018-12-01"
"Saturday Nights","Khalid","921699","2018-12-01"
"Electricity (with Dua Lipa)","Silk City","919855","2018-12-01"
"changes","XXXTENTACION","919702","2018-12-01"
"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur","913484","2018-12-01"
"Sleigh Ride","The Ronettes","906378","2018-12-01"
"Santa Claus Is Coming to Town","Michael Bublé","905436","2018-12-01"
"10 Freaky Girls (with 21 Savage)","Metro Boomin","901114","2018-12-01"
"bellyache","Billie Eilish","900851","2018-12-01"
"Foot Fungus","Ski Mask The Slump God","891347","2018-12-01"
"Blue Christmas","Elvis Presley","884605","2018-12-01"
"Merry Christmas Everyone - Remastered","Shakin' Stevens","881906","2018-12-01"
"Psycho (feat. Ty Dolla $ign)","Post Malone","877935","2018-12-01"
"Say My Name","David Guetta","867707","2018-12-01"
"Asesina - Remix","Brytiago","867117","2018-12-01"
"idontwannabeyouanymore","Billie Eilish","865753","2018-12-01"
"IDGAF","Dua Lipa","856328","2018-12-01"
"Fuck Love (feat. Trippie Redd)","XXXTENTACION","848207","2018-12-01"
"Perfect","Ed Sheeran","848128","2018-12-01"
"Baller los","MERO","838975","2018-12-01"
"No Es Justo","J Balvin","838497","2018-12-01"
"Time (feat. Meek Mill)","Lil Baby","836000","2018-12-01"
"Havana (feat. Young Thug)","Camila Cabello","833728","2018-12-01"
"Thunder","Imagine Dragons","833684","2018-12-01"
"Always Remember Us This Way","Lady Gaga","826136","2018-12-01"
"Topanga","Trippie Redd","818383","2018-12-01"
"Happy Birthday","Sfera Ebbasta","815683","2018-12-01"
"Ibiza","Ozuna","815324","2018-12-01"
"Thunderclouds","Sia","801634","2018-12-01"
"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates","800047","2018-12-01"
"New Rules","Dua Lipa","798659","2018-12-01"
"Christmas Lights","Coldplay","794108","2018-12-01"
"Killer Queen - Remastered 2011","Queen","792263","2018-12-01"
"FRIENDS","Marshmello","786520","2018-12-01"
"Parado no Bailão","MC L da Vinte","786121","2018-12-01"
"Lucky You (feat. Joyner Lucas)","Eminem","785737","2018-12-01"
"I Found You (with Calvin Harris)","benny blanco","777508","2018-12-01"
"I'll Be Home","Meghan Trainor","775769","2018-12-01"
"Fine China","Future","770616","2018-12-01"
"Santa Baby (with Henri René & His Orchestra)","Eartha Kitt","770369","2018-12-01"
"Toda - Remix","Alex Rose","762816","2018-12-01"
"TATI","6ix9ine","762795","2018-12-01"
"Hallelujah","Pentatonix","759868","2018-12-01"
"I Fall Apart","Post Malone","756994","2018-12-01"
"The Middle","Zedd","747101","2018-12-01"
"Sin Pijama","Becky G","745911","2018-12-01"
"PPP","Kevin Roldan","736179","2018-12-01"
"Waste It On Me (feat. BTS)","Steve Aoki","732560","2018-12-01"
"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez","732370","2018-12-01"
"Pure Cocaine","Lil Baby","731988","2018-12-01"
"ocean eyes","Billie Eilish","731870","2018-12-01"
"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers","730331","2018-12-01"
"Intro","Meek Mill","729776","2018-12-01"
"Yes Indeed","Lil Baby","728754","2018-12-01"
"FEEFA","6ix9ine","727707","2018-12-01"
"Jackie Chan","Tiësto","721230","2018-12-01"
"XO Tour Llif3","Lil Uzi Vert","720722","2018-12-01"
"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby","720356","2018-12-01"
"Respect The Game","Meek Mill","719484","2018-12-01"
"I Like Me Better","Lauv","706660","2018-12-01"
"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","699518","2018-12-01"
"Closer","The Chainsmokers","699301","2018-12-01"
"Quiere Beber","Anuel AA","692635","2018-12-01"
"Everybody Dies In Their Nightmares","XXXTENTACION","691515","2018-12-01"
"Say You Won't Let Go","James Arthur","687003","2018-12-01"
"Tic Tac Toe (feat. Kodak Black)","Meek Mill","686222","2018-12-01"
"Reggaetón en lo Oscuro","Wisin & Yandel","685460","2018-12-01"
"Está Rico","Marc Anthony","684617","2018-12-01"
"Too Good At Goodbyes","Sam Smith","683630","2018-12-01"
"Look At Me!","XXXTENTACION","679291","2018-12-01"
"Santa Baby","Kylie Minogue","678760","2018-12-01"
"Calling My Spirit","Kodak Black","674535","2018-12-01"
"Winter Wonderland","Bing Crosby","673135","2018-12-01"
"Noticed","Lil Mosey","671562","2018-12-01"
"thank u, next","Ariana Grande","6644376","2018-12-02"
"All I Want for Christmas Is You","Mariah Carey","4050744","2018-12-02"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","3909545","2018-12-02"
"MIA (feat. Drake)","Bad Bunny","2986114","2018-12-02"
"Last Christmas","Wham!","2818171","2018-12-02"
"Without Me","Halsey","2766943","2018-12-02"
"Santa Tell Me","Ariana Grande","2744790","2018-12-02"
"Happier","Marshmello","2618853","2018-12-02"
"ZEZE (feat. Travis Scott & Offset)","Kodak Black","2403688","2018-12-02"
"SICKO MODE","Travis Scott","2373984","2018-12-02"
"It's Beginning to Look a Lot like Christmas","Michael Bublé","2331765","2018-12-02"
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","2326520","2018-12-02"
"TIC TOC","6ix9ine","2234069","2018-12-02"
"KIKA","6ix9ine","2185190","2018-12-02"
"Adan y Eva","Paulo Londra","2172294","2018-12-02"
"Jingle Bell Rock","Bobby Helms","2140910","2018-12-02"
"Mo Bamba","Sheck Wes","2133670","2018-12-02"
"Shallow","Lady Gaga","2078546","2018-12-02"
"Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","2075077","2018-12-02"
"Bohemian Rhapsody - Remastered 2011","Queen","2074362","2018-12-02"
"Sweet but Psycho","Ava Max","2056220","2018-12-02"
"Rockin' Around The Christmas Tree","Brenda Lee","2037951","2018-12-02"
"Going Bad (feat. Drake)","Meek Mill","1973607","2018-12-02"
"when the party's over","Billie Eilish","1962315","2018-12-02"
"Do They Know It's Christmas? - 1984 Version","Band Aid","1864872","2018-12-02"
"It's the Most Wonderful Time of the Year","Andy Williams","1803392","2018-12-02"
"BEBE","6ix9ine","1741812","2018-12-02"
"Mistletoe","Justin Bieber","1726948","2018-12-02"
"Better","Khalid","1707079","2018-12-02"
"Drip Too Hard (Lil Baby & Gunna)","Lil Baby","1653373","2018-12-02"
"MAMA","6ix9ine","1642528","2018-12-02"
"Lucid Dreams","Juice WRLD","1640752","2018-12-02"
"Girls Like You (feat. Cardi B)","Maroon 5","1628276","2018-12-02"
"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson","1612440","2018-12-02"
"Eastside (with Halsey & Khalid)","benny blanco","1582169","2018-12-02"
"SAD!","XXXTENTACION","1549417","2018-12-02"
"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","1547922","2018-12-02"
"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding","1536298","2018-12-02"
"In My Mind","Dynoro","1519350","2018-12-02"
"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney","1482949","2018-12-02"
"Happy Xmas (War Is Over) - Remastered","John Lennon","1473958","2018-12-02"
"Be Alright","Dean Lewis","1452668","2018-12-02"
"Better Now","Post Malone","1437970","2018-12-02"
"Moonlight","XXXTENTACION","1431096","2018-12-02"
"come out and play","Billie Eilish","1408780","2018-12-02"
"Promises (with Sam Smith)","Calvin Harris","1373406","2018-12-02"
"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","1370258","2018-12-02"
"Have Yourself A Merry Little Christmas","Sam Smith","1354923","2018-12-02"
"BAD!","XXXTENTACION","1353914","2018-12-02"
"Vaina Loca","Ozuna","1332317","2018-12-02"
"Woman Like Me (feat. Nicki Minaj)","Little Mix","1320740","2018-12-02"
"Driving Home for Christmas","Chris Rea","1317197","2018-12-02"
"White Christmas","Bing Crosby","1313725","2018-12-02"
"Ruin My Life","Zara Larsson","1309625","2018-12-02"
"Let You Love Me","Rita Ora","1298118","2018-12-02"
"lovely (with Khalid)","Billie Eilish","1297336","2018-12-02"
"Wake Up in the Sky","Gucci Mane","1296765","2018-12-02"
"Holly Jolly Christmas","Michael Bublé","1286682","2018-12-02"
"Underneath the Tree","Kelly Clarkson","1254391","2018-12-02"
"Kiss and Make Up","Dua Lipa","1252272","2018-12-02"
"Calma - Remix","Pedro Capó","1251268","2018-12-02"
"WAKA","6ix9ine","1249801","2018-12-02"
"Falling Down - Bonus Track","Lil Peep","1246850","2018-12-02"
"Ella Quiere Beber - Remix","Anuel AA","1246184","2018-12-02"
"Another One Bites The Dust - Remastered 2011","Queen","1228916","2018-12-02"
"Bad Liar","Imagine Dragons","1225005","2018-12-02"
"Natural","Imagine Dragons","1199615","2018-12-02"
"Feliz Navidad","José Feliciano","1169831","2018-12-02"
"In My Feelings","Drake","1134200","2018-12-02"
"Happy Now","Kygo","1128325","2018-12-02"
"A Holly Jolly Christmas - Single Version","Burl Ives","1127709","2018-12-02"
"Taste (feat. Offset)","Tyga","1123882","2018-12-02"
"Cuando Te Besé","Becky G","1123291","2018-12-02"
"High Hopes","Panic! At The Disco","1117011","2018-12-02"
"Youngblood","5 Seconds of Summer","1116762","2018-12-02"
"Let It Snow! Let It Snow! Let It Snow!","Dean Martin","1096192","2018-12-02"
"breathin","Ariana Grande","1079828","2018-12-02"
"The Christmas Song (Merry Christmas To You)","Nat King Cole","1079360","2018-12-02"
"rockstar (feat. 21 Savage)","Post Malone","1064108","2018-12-02"
"Jocelyn Flores","XXXTENTACION","1054429","2018-12-02"
"I Like It","Cardi B","1053982","2018-12-02"
"Don't Stop Me Now - Remastered","Queen","1047786","2018-12-02"
"Somebody To Love - Remastered 2011","Queen","1019489","2018-12-02"
"Imposible","Luis Fonsi","1017217","2018-12-02"
"Love Someone","Lukas Graham","1014032","2018-12-02"
"no tears left to cry","Ariana Grande","1010703","2018-12-02"
"I Love It (& Lil Pump)","Kanye West","1004699","2018-12-02"
"Armed And Dangerous","Juice WRLD","1003737","2018-12-02"
"MALA","6ix9ine","990346","2018-12-02"
"Fairytale of New York (feat. Kirsty MacColl)","The Pogues","985050","2018-12-02"
"God is a woman","Ariana Grande","980140","2018-12-02"
"My Only Wish (This Year)","Britney Spears","970349","2018-12-02"
"Te Boté - Remix","Nio Garcia","970113","2018-12-02"
"Adictiva","Daddy Yankee","968121","2018-12-02"
"Under Pressure - Remastered","Queen","965295","2018-12-02"
"Leave Me Alone","Flipp Dinero","962274","2018-12-02"
"Santa Baby","Ariana Grande","961943","2018-12-02"
"SOLO","JENNIE","961693","2018-12-02"
"Bubalu","Becky G","959127","2018-12-02"
"Sleigh Ride","The Ronettes","947577","2018-12-02"
"Baby, It's Cold Outside","Brett Eldredge","941041","2018-12-02"
"Santa Claus Is Coming to Town","Michael Bublé","935618","2018-12-02"
"Nonstop","Drake","932421","2018-12-02"
"God's Plan","Drake","926291","2018-12-02"
"Lonesome Train","Stan Kenton","924823","2018-12-02"
"Beautiful (feat. Camila Cabello)","Bazzi","921247","2018-12-02"
"Merry Christmas Everyone - Remastered","Shakin' Stevens","909322","2018-12-02"
"Shape of You","Ed Sheeran","905234","2018-12-02"
"Believer","Imagine Dragons","904616","2018-12-02"
"On Me (feat. Cardi B)","Meek Mill","899256","2018-12-02"
"2002","Anne-Marie","885258","2018-12-02"
"Amigos Con Derechos","Reik","885085","2018-12-02"
"Saturday Nights","Khalid","884252","2018-12-02"
"bellyache","Billie Eilish","883868","2018-12-02"
"changes","XXXTENTACION","881964","2018-12-02"
"idontwannabeyouanymore","Billie Eilish","881696","2018-12-02"
"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur","860482","2018-12-02"
"Blue Christmas","Elvis Presley","856442","2018-12-02"
"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates","851293","2018-12-02"
"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God","850215","2018-12-02"
"Rise","Jonas Blue","848508","2018-12-02"
"Reggaeton","J Balvin","846329","2018-12-02"
"Ya No Tiene Novio","Sebastian Yatra","843764","2018-12-02"
"We Will Rock You - Remastered","Queen","841235","2018-12-02"
"Money","Cardi B","838596","2018-12-02"
"Culpables","KAROL G","837721","2018-12-02"
"STOOPID","6ix9ine","836199","2018-12-02"
"Solo (feat. Demi Lovato)","Clean Bandit","833607","2018-12-02"
"Mala Mía","Maluma","830244","2018-12-02"
"Desconocidos","Mau y Ricky","826446","2018-12-02"
"Christmas Lights","Coldplay","825086","2018-12-02"
"Shotgun","George Ezra","813885","2018-12-02"
"Fuck Love (feat. Trippie Redd)","XXXTENTACION","802350","2018-12-02"
"No Stylist","French Montana","798673","2018-12-02"
"Psycho (feat. Ty Dolla $ign)","Post Malone","795071","2018-12-02"
"Body (feat. Brando)","Loud Luxury","793138","2018-12-02"
"Perfect","Ed Sheeran","791938","2018-12-02"
"10 Freaky Girls (with 21 Savage)","Metro Boomin","789435","2018-12-02"
"One Kiss (with Dua Lipa)","Calvin Harris","787070","2018-12-02"
"Uptown Vibes (feat. Fabolous & Anuel AA)","Meek Mill","782278","2018-12-02"
"I'll Be Home","Meghan Trainor","781205","2018-12-02"
"IDGAF","Dua Lipa","775591","2018-12-02"
"Electricity (with Dua Lipa)","Silk City","761810","2018-12-02"
"KANGA","6ix9ine","755742","2018-12-02"
"Topanga","Trippie Redd","755305","2018-12-02"
"Always Remember Us This Way","Lady Gaga","748810","2018-12-02"
"Havana (feat. Young Thug)","Camila Cabello","744227","2018-12-02"
"Say My Name","David Guetta","743541","2018-12-02"
"Asesina - Remix","Brytiago","742796","2018-12-02"
"ocean eyes","Billie Eilish","742286","2018-12-02"
"What's Free (feat. Rick Ross & Jay Z)","Meek Mill","739399","2018-12-02"
"Thunder","Imagine Dragons","737871","2018-12-02"
"Foot Fungus","Ski Mask The Slump God","732342","2018-12-02"
"Killer Queen - Remastered 2011","Queen","730576","2018-12-02"
"Hallelujah","Pentatonix","729353","2018-12-02"
"Santa Baby (with Henri René & His Orchestra)","Eartha Kitt","717750","2018-12-02"
"No Es Justo","J Balvin","716325","2018-12-02"
"Santa Baby","Kylie Minogue","714521","2018-12-02"
"Thunderclouds","Sia","712804","2018-12-02"
"I Fall Apart","Post Malone","712033","2018-12-02"
"FRIENDS","Marshmello","707260","2018-12-02"
"New Rules","Dua Lipa","704227","2018-12-02"
"Fine China","Future","695902","2018-12-02"
"Say You Won't Let Go","James Arthur","691964","2018-12-02"
"Waste It On Me (feat. BTS)","Steve Aoki","687867","2018-12-02"
"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez","686218","2018-12-02"
"Lucky You (feat. Joyner Lucas)","Eminem","680584","2018-12-02"
"Parado no Bailão","MC L da Vinte","680428","2018-12-02"
"Happy Birthday","Sfera Ebbasta","675480","2018-12-02"
"The Middle","Zedd","671909","2018-12-02"
"Step Into Christmas","Elton John","667061","2018-12-02"
"Toda - Remix","Alex Rose","664390","2018-12-02"
"Too Good At Goodbyes","Sam Smith","663087","2018-12-02"
"I Like Me Better","Lauv","662231","2018-12-02"
"Ibiza","Ozuna","662025","2018-12-02"
"Everybody Dies In Their Nightmares","XXXTENTACION","660253","2018-12-02"
"Santa Claus Is Coming To Town","The Jackson 5","655232","2018-12-02"
"I Found You (with Calvin Harris)","benny blanco","654878","2018-12-02"
"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers","652423","2018-12-02"
"Sin Pijama","Becky G","650050","2018-12-02"
"XO Tour Llif3","Lil Uzi Vert","649442","2018-12-02"
"Santa's Coming For Us","Sia","648204","2018-12-02"
"Winter Wonderland","Tony Bennett","647605","2018-12-02"
"Run Rudolph Run - Single Version","Chuck Berry","642595","2018-12-02"
"Yes Indeed","Lil Baby","637359","2018-12-02"
"PPP","Kevin Roldan","636771","2018-12-02"
"Closer","The Chainsmokers","632573","2018-12-02"
"Carol of the Bells","Mykola Dmytrovych Leontovych","631035","2018-12-02"
"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby","630682","2018-12-02"
"Baller los","MERO","630515","2018-12-02"
"Time (feat. Meek Mill)","Lil Baby","628932","2018-12-02"
"Christmas (Baby Please Come Home)","Mariah Carey","626246","2018-12-02"
"All Girls Are The Same","Juice WRLD","623594","2018-12-02"
"Merry Christmas, Happy Holidays","*NSYNC","620944","2018-12-02"
"Jackie Chan","Tiësto","618271","2018-12-02"
"Noticed","Lil Mosey","606437","2018-12-02"
"TATI","6ix9ine","604774","2018-12-02"
"Look At Me!","XXXTENTACION","604621","2018-12-02"
"Congratulations","Post Malone","602380","2018-12-02"
"Quiere Beber","Anuel AA","602375","2018-12-02"
"thank u, next","Ariana Grande","7450416","2018-12-03"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","3970284","2018-12-03"
"Without Me","Halsey","3300720","2018-12-03"
